version,ResponseId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,MTurkCode
1,R_1rOMTWjdIWqC7z9,5,1,2,4,3,32,100,66,35,71,3,4,5,1,2,71,15,4,93,65,3,5,2,1,4,39,9,71,81,26,3,4,5,2,1,46,37,45,79,100,5088570
1,R_12mMuniDmSBjKup,3,1,5,2,4,43,81,17,70,34,1,3,5,2,4,94,51,20,86,34,1,5,4,2,3,93,20,54,85,64,2,1,3,4,5,91,94,77,69,6,6155024
1,R_2ONq7bgCZdJC7b7,4,1,5,2,3,50,62,39,40,58,1,4,5,2,3,65,49,39,88,57,4,5,2,1,3,37,27,63,82,48,4,3,5,2,1,62,61,51,79,100,5615270
1,R_3scSaYFHEkk5Nbk,4,1,2,5,3,55,100,89,44,70,3,4,5,1,2,62,44,44,91,74,4,5,2,1,3,38,24,65,78,53,3,4,5,2,1,67,48,34,79,100,1150444
1,R_1ohD95XM1QrLvMy,4,1,2,5,3,32,85,71,20,47,3,4,5,1,2,65,55,45,88,80,3,5,2,1,4,58,17,71,82,46,3,4,5,1,2,62,53,32,92,81,7038836
1,R_2aPOINvl4GalQbx,4,1,2,5,3,37,95,80,29,47,1,2,4,5,3,89,69,51,34,60,1,3,5,4,2,95,70,36,56,85,2,1,3,4,5,73,94,66,51,36,2434121
1,R_8nLXcbvzHj6SX3r,3,4,5,1,2,31,32,42,76,49,1,3,4,2,5,70,51,51,82,59,2,5,3,1,4,72,35,75,74,51,1,2,3,4,5,80,68,66,64,64,5948028
1,R_1Lt9SPDUn08XAn7,4,1,3,5,2,31,100,83,21,69,2,4,5,1,3,80,34,6,100,77,3,5,1,2,4,31,15,76,90,29,3,4,5,2,1,60,65,62,84,100,8757000
1,R_3DqJNBRAtPYRcot,3,1,2,5,4,50,100,81,11,31,2,3,5,1,4,83,57,14,98,32,3,5,1,2,4,30,7,74,55,21,3,4,5,2,1,50,36,16,78,100,8880826
1,R_3WbTPknWGXC6sU1,3,1,2,5,4,28,97,64,5,13,3,4,5,1,2,24,10,3,89,80,3,5,2,1,4,22,6,76,89,17,3,4,5,2,1,34,19,8,79,93,6985342
