version,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,MTurkCode
,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"Q1. 

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T1","Q1. 

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T2","Q1. 

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T3","Q1. 

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T4","Q1. 

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T5","Q2.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T1","Q2.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T2","Q2.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T3","Q2.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T4","Q2.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T5","Q3.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T1","Q3.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T2","Q3.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T3","Q3.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T4","Q3.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T5","Q4.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T1","Q4.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T2","Q4.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T3","Q4.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T4","Q4.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T5","Q5.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T1","Q5.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T2","Q5.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T3","Q5.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T4","Q5.


Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T5","Q6.
Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T1","Q6.
Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T2","Q6.
Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T3","Q6.
Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T4","Q6.
Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T5","Q7.

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T1","Q7.

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T2","Q7.

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T3","Q7.

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T4","Q7.

Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.



Rank the text by the amount of agreement across coders. Agreement increases as more coders use the same label for a specific piece of text. 

 

Click and drag T1-T5 up or down to rank them from most agreement to least agreement.

Use the rankings: 1 = most agreement, 5 = least agreement. - T5","Q8.



Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T1","Q8.



Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T2","Q8.



Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T3","Q8.



Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T4","Q8.



Recall that T1-T5 represent separate pieces of text and A, B, C, D represent different labels assigned to the text.

 
How much agreement do you see across various pieces of text?

 

Slide the button left for less agreement (e.g. users had fewer similar labels) and right for more agreement (e.g. users had more similar labels). - T5",MTurkCode
,"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""MTurkCode""}"
1,4/20/17 14:00,4/20/17 14:06,IP Address,152.179.80.238,100,356,TRUE,4/20/17 14:06,R_1rOMTWjdIWqC7z9,,,,,41.64109802,-88.44730377,anonymous,5,1,2,4,3,32,100,66,35,71,3,4,5,1,2,71,15,4,93,65,3,5,2,1,4,39,9,71,81,26,3,4,5,2,1,46,37,45,79,100,5088570
1,4/20/17 14:01,4/20/17 14:06,IP Address,67.1.158.86,100,289,TRUE,4/20/17 14:06,R_12mMuniDmSBjKup,,,,,32.26860046,-111.0021973,anonymous,3,1,5,2,4,43,81,17,70,34,1,3,5,2,4,94,51,20,86,34,1,5,4,2,3,93,20,54,85,64,2,1,3,4,5,91,94,77,69,6,6155024
1,4/20/17 14:04,4/20/17 14:13,IP Address,50.27.200.236,100,527,TRUE,4/20/17 14:13,R_2ONq7bgCZdJC7b7,,,,,39.79449463,-94.80419922,anonymous,4,1,5,2,3,50,62,39,40,58,1,4,5,2,3,65,49,39,88,57,4,5,2,1,3,37,27,63,82,48,4,3,5,2,1,62,61,51,79,100,5615270
1,4/20/17 14:06,4/20/17 14:14,IP Address,174.56.160.177,100,493,TRUE,4/20/17 14:14,R_3scSaYFHEkk5Nbk,,,,,31.99710083,-80.96450043,anonymous,4,1,2,5,3,55,100,89,44,70,3,4,5,1,2,62,44,44,91,74,4,5,2,1,3,38,24,65,78,53,3,4,5,2,1,67,48,34,79,100,1150444
1,4/20/17 14:06,4/20/17 14:18,IP Address,138.68.45.74,100,735,TRUE,4/20/17 14:18,R_1ohD95XM1QrLvMy,,,,,37.35009766,-121.9853973,anonymous,4,1,2,5,3,32,85,71,20,47,3,4,5,1,2,65,55,45,88,80,3,5,2,1,4,58,17,71,82,46,3,4,5,1,2,62,53,32,92,81,7038836
1,4/20/17 14:10,4/20/17 14:18,IP Address,63.207.238.147,100,489,TRUE,4/20/17 14:18,R_2aPOINvl4GalQbx,,,,,39.74130249,-121.6120987,anonymous,4,1,2,5,3,37,95,80,29,47,1,2,4,5,3,89,69,51,34,60,1,3,5,4,2,95,70,36,56,85,2,1,3,4,5,73,94,66,51,36,2434121
1,4/20/17 13:57,4/20/17 14:21,IP Address,98.171.175.87,100,1422,TRUE,4/20/17 14:21,R_8nLXcbvzHj6SX3r,,,,,34.41940308,-119.7071991,anonymous,3,4,5,1,2,31,32,42,76,49,1,3,4,2,5,70,51,51,82,59,2,5,3,1,4,72,35,75,74,51,1,2,3,4,5,80,68,66,64,64,5948028
1,4/20/17 14:17,4/20/17 14:21,IP Address,209.54.29.218,100,236,TRUE,4/20/17 14:21,R_1Lt9SPDUn08XAn7,,,,,42.47259521,-98.56710052,anonymous,4,1,3,5,2,31,100,83,21,69,2,4,5,1,3,80,34,6,100,77,3,5,1,2,4,31,15,76,90,29,3,4,5,2,1,60,65,62,84,100,8757000
